"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"PER","Peru",31444297,"Peru",10,NA,NA,0.0318022692636442,"Peru","Peru",NA,"paludisme","world","web"
"PHL","Philippines",105173264,"Philippines",34,1,60,0.0323276075181997,"Philippines","Philippines",0.5,"paludisme","world","web"
"PLW","Palau",17808,NA,NA,NA,NA,0,"Palau","Palau",NA,"paludisme","world","web"
"PNG","Papua New Guinea",8438029,"Papua New Guinea",3053,170,6120,36.1814352617181,"Papua New Guinea","Papua New Guinea",NA,"paludisme","world","web"
"POL","Poland",37974826,NA,NA,NA,NA,0,"Poland","Poland",NA,"paludisme","world","web"
"PRE","Pre-demographic dividend",894512725,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PRI","Puerto Rico",3325001,NA,NA,NA,NA,0,"Puerto Rico","Puerto Rico",NA,"paludisme","world","web"
"PRK","Korea, Dem. People’s Rep.",25429985,"Democratic People's Republic of Korea",0,NA,NA,0,"North Korea","North Korea",NA,"paludisme","world","web"
"PRT","Portugal",10300300,NA,NA,NA,NA,0,"Portugal","Portugal",NA,"paludisme","world","web"
"PRY","Paraguay",6867062,"Paraguay",0,NA,NA,0,"Paraguay","Paraguay",NA,"paludisme","world","web"
"PSE","West Bank and Gaza",4454805,NA,NA,NA,NA,0,"Palestine","Palestine",NA,"paludisme","world","web"
"PSS","Pacific island small states",2422086,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PST","Post-demographic dividend",1106035186,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PYF","French Polynesia",276103,NA,NA,NA,NA,0,"French Polynesia","French Polynesia",NA,"paludisme","world","web"
"QAT","Qatar",2724724,NA,NA,NA,NA,0,"Qatar","Qatar",NA,"paludisme","world","web"
"REU",NA,NA,NA,NA,NA,NA,NA,"Reunion","Réunion",7,"paludisme","world","web"
"ROU","Romania",19587491,NA,NA,NA,NA,0,"Romania","Romania",NA,"paludisme","world","web"
"RUS","Russian Federation",144496740,NA,NA,NA,NA,0,"Russia","Russia",NA,"paludisme","world","web"
"RWA","Rwanda",11980937,"Rwanda",3270,2990,3550,27.2933577732693,"Rwanda","Rwanda",11,"paludisme","world","web"
"SAS","South Asia",1792835608,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"SAU","Saudi Arabia",33099147,"Saudi Arabia",0,NA,NA,0,"Saudi Arabia","Saudi Arabia",NA,"paludisme","world","web"
"SDN","Sudan",40813396,"Sudan",3885,110,8940,9.51893344038315,"Sudan","Sudan",NA,"paludisme","world","web"
"SEN","Senegal",15419381,"Senegal",4523,4060,4980,29.3332138300493,"Senegal","Senegal",36,"paludisme","world","web"
"SGP","Singapore",5612253,NA,NA,NA,NA,0,"Singapore","Singapore",NA,"paludisme","world","web"
"SGS",NA,NA,NA,NA,NA,NA,NA,"South Sandwich Islands","South Georgia & South Sandwich Islands",NA,"paludisme","world","web"
"SGS",NA,NA,NA,NA,NA,NA,NA,"South Georgia","South Georgia & South Sandwich Islands",NA,"paludisme","world","web"
"SHN",NA,NA,NA,NA,NA,NA,NA,"Saint Helena","St. Helena",1,"paludisme","world","web"
"SJM",NA,NA,NA,NA,NA,NA,NA,NA,"Svalbard & Jan Mayen",NA,"paludisme","world","web"
"SLB","Solomon Islands",636038,"Solomon Islands",134,20,260,21.0679236146268,"Solomon Islands","Solomon Islands",NA,"paludisme","world","web"
"SLE","Sierra Leone",7488431,"Sierra Leone",17590,16200,19000,234.895667730663,"Sierra Leone","Sierra Leone",NA,"paludisme","world","web"
