"","year","ISO","CCODE","language_type","hits_mean","hits_median","hits_max","hits_sd","HRINGO_count","theta_mean","Amnesty","State","HRW","gdp_growth","gdp_pc_currentus","gini","literacy_per","rat_sum"
"77",2013,"KH",811,"English",8.92134615384616,8.51,23,4.03168481730199,NA,-0.148907883363328,NA,3,4,7.3566651,1013.666,NA,NA,15
"78",2014,"KH",811,"English",6.52846153846154,5.75,15.87,3.21972741789589,NA,0.0461388709072548,3,3,3,7.142571,1093.7621,NA,NA,15
"79",2015,"KH",811,"English",5.30769230769231,5.405,11.73,2.12701357000807,5,0.302203483850926,2,2,3,7.036087,1163.1898,NA,NA,15
"80",2016,"KH",811,"English",3.77288461538462,3.335,11.96,2.21418274795178,NA,NA,NA,NA,NA,6.9530945,1269.9072,NA,NA,15
"81",2012,"CA",20,"English",12.3988679245283,12.98,17.16,3.06305884092843,19,2.34821416527998,1,1,NA,1.7454723,52496.695,NA,NA,17
"82",2013,"CA",20,"English",11.7657692307692,12.43,16.28,2.82829772551136,NA,2.46204522065777,NA,1,1,2.4750018,52418.316,34,NA,17
"83",2014,"CA",20,"English",13.3523076923077,13.53,22,2.93792551553671,NA,2.56197467995914,1,1,1,2.8557391,50633.207,NA,NA,17
"84",2015,"CA",20,"English",13.3523076923077,14.19,17.82,2.81081149079806,18,2.59342745890074,1,1,1,1.0008825,43525.371,NA,NA,17
"85",2016,"CA",20,"English",12.6330769230769,13.2,17.16,2.69948690728336,NA,NA,NA,NA,NA,1.4141028,42348.945,NA,NA,17
"86",2012,"LB",660,"English",6.52981132075472,6.3,14.91,3.21033936054576,7,0.00121801160072773,3,3,NA,2.8042469,8922.8965,NA,NA,10
"87",2013,"LB",660,"English",5.56096153846154,5.04,14.07,2.84295431785206,NA,-0.00249040732746969,NA,3,3,2.636234,8721.2539,NA,NA,10
"88",2014,"LB",660,"English",5.29846153846154,5.04,12.18,2.44179167955312,NA,0.0259607752169714,3,3,3,2.0029213,8536.6826,NA,NA,10
"89",2015,"LB",660,"English",4.39384615384615,4.515,8.19,1.72562481306775,7,0.104217270756199,2,3,3,0.81556004,8452.4434,NA,NA,10
"90",2016,"LB",660,"English",4.69673076923077,4.2,21,2.94529782851285,NA,NA,NA,NA,NA,2,8257.2939,NA,NA,10
"91",2012,"GB",200,"English",4.01867924528302,4.18,6.46,1.1230642110142,16,2.13078789160728,1,1,NA,1.4813298,41790.777,32.299999,NA,18
"92",2013,"GB",200,"English",3.82192307692308,4.18,5.32,1.01005928473169,NA,2.23482722295798,NA,1,1,2.0523884,42724.066,33.200001,NA,18
